Order ID,AWB Code,Customer Pincode,Type of Shipment,Forward Charges Applicable,RTO Charges Applicable,Total weight as per X (KG),Weight slab as per X (KG),Delivery Zone as per X,Forward Fixed  Charges (X),Forward Additional Charges (X),RTO Fixed  Charges (X),RTO Additional Charges (X),Expected Charge as per X (Rs.),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone charged by Courier Company,Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.),Discount Applied (%),Net Forward Charges (Rs.),Net RTO Charges (Rs.)
2001806776,1091117227573,226004,Forward charges,Yes,0,0.611,1,b,33.0,28.3,0,0,61.3,2.86,3,b,174.5,-113.2,-184.7%,61.3,0
2001806801,1091117227816,248001,Forward charges,Yes,0,0.361,0.5,b,33.0,0,0,0,33.0,1.35,1.5,b,89.6,-56.6,-171.5%,33.0,0
2001807004,1091117229290,410206,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.68,1,d,90.2,-44.8,-98.7%,45.4,0
2001807036,1091117323005,516503,Forward charges,Yes,0,1.459,1.5,d,45.4,89.6,0,0,135,1.64,2,d,179.8,-44.8,-33.2%,135,0
2001807084,1091117323215,742103,Forward charges,Yes,0,0.5,0.5,d,45.4,0,0,0,45.4,0.67,1,d,90.2,-44.8,-98.7%,45.4,0
2001807362,1091117324394,452018,Forward charges,Yes,0,2.016,2.5,d,45.4,179.2,0,0,224.6,2,2.5,d,179.8,44.8,19.9%,224.6,0
2001807415,1091117325094,208001,Forward charges,Yes,0,1.048,1.5,b,33.0,56.6,0,0,89.6,1,1.5,b,61.3,28.3,31.6%,89.6,0
2001809592,1091117616121,244713,Forward charges,Yes,0,1.505,2,b,33.0,84.9,0,0,117.9,1.5,1.5,b,89.6,28.3,24.0%,117.9,0
2001809794,1091117795531,580007,Forward charges,Yes,0,1.517,2,d,45.4,134.4,0,0,179.8,1.5,1.5,d,135,44.8,24.9%,179.8,0
2001809820,1091117795623,360005,Forward charges,Yes,0,3.08,3.5,d,45.4,268.8,0,0,314.2,3,3.5,d,269.4,44.8,14.3%,314.2,0
2001806471,1091117223351,313027,Forward charges,Yes,0,1.621,2,b,33.0,84.9,0,0,117.9,1.7,2,d,179.8,-61.9,-52.5%,117.9,0
2001807241,1091117324011,341001,Forward charges,Yes,0,0.607,1,b,33.0,28.3,0,0,61.3,0.79,1,d,90.2,-28.9,-47.1%,61.3,0
2001807981,1091117327570,332715,Forward charges,Yes,0,0.5,0.5,b,33.0,0,0,0,33.0,0.5,0.5,d,45.4,-12.4,-37.6%,33.0,0
2001808286,1091117435602,302031,Forward charges,Yes,0,0.601,1,b,33.0,28.3,0,0,61.3,0.77,1,d,90.2,-28.9,-47.1%,61.3,0
2001808801,1091117437680,335001,Forward charges,Yes,0,0.731,1,b,33.0,28.3,0,0,61.3,0.8,1,d,90.2,-28.9,-47.1%,61.3,0
2001810104,1091117804200,334004,Forward charges,Yes,0,0.601,1,b,33.0,28.3,0,0,61.3,0.76,1,d,90.2,-28.9,-47.1%,61.3,0
2001811153,1091117957533,321001,Forward charges,Yes,0,0.607,1,b,33.0,28.3,0,0,61.3,0.76,1,d,90.2,-28.9,-47.1%,61.3,0
2001811229,1091117957942,324001,Forward charges,Yes,0,0.505,1,b,33.0,28.3,0,0,61.3,0.6,1,d,90.2,-28.9,-47.1%,61.3,0
2001811363,1091117958395,321608,Forward charges,Yes,0,0.508,1,b,33.0,28.3,0,0,61.3,0.59,1,d,90.2,-28.9,-47.1%,61.3,0
2001811466,1091118001865,302002,Forward charges,Yes,0,0.607,1,b,33.0,28.3,0,0,61.3,0.8,1,d,90.2,-28.9,-47.1%,61.3,0
2001811809,1091118009786,311011,Forward and RTO charges,Yes,1,0.5,0.5,b,33.0,0,20.5,0,53.5,0.5,0.5,d,86.7,-33.2,-62.1%,33.0,20.5
2001812854,1091118548333,306302,Forward charges,Yes,0,2.572,3,b,33.0,141.5,0,0,174.5,2.94,3,d,269.4,-94.9,-54.4%,174.5,0
2001813009,1091118553701,313001,Forward charges,Yes,0,0.72,1,b,33.0,28.3,0,0,61.3,1,1.5,d,90.2,-28.9,-47.1%,61.3,0
2001812650,1091118591534,302002,Forward charges,Yes,0,0.563,1,b,33.0,28.3,0,0,61.3,0.61,1,d,90.2,-28.9,-47.1%,61.3,0
2001814580,1091118925110,322255,Forward and RTO charges,Yes,1,0.127,0.5,b,33.0,0,20.5,0,53.5,0.15,0.5,d,86.7,-33.2,-62.1%,33.0,20.5
2001815688,1091119169701,302017,Forward charges,Yes,0,0.22,0.5,b,33.0,0,0,0,33.0,0.2,0.5,d,45.4,-12.4,-37.6%,33.0,0
2001816131,1091119367193,302017,Forward charges,Yes,0,0.554,1,b,33.0,28.3,0,0,61.3,0.7,1,d,90.2,-28.9,-47.1%,61.3,0
2001816996,1091119429202,335512,Forward charges,Yes,0,0.5,0.5,b,33.0,0,0,0,33.0,0.5,0.5,d,45.4,-12.4,-37.6%,33.0,0
2001821185,1091120959225,313001,Forward charges,Yes,0,2.098,2.5,b,33.0,113.2,0,0,146.2,2.1,2.5,d,224.6,-78.4,-53.6%,146.2,0
